experiment,tray,row,column,genotype,bag_received
1001G,1,1,5,1158,
1001G,1,2,9,1158,
1001G,1,3,5,1158,
1001G,1,4,10,1158,1
1001G,1,5,6,1158,1
1001G,1,6,6,1158,
1001G,2,1,8,1158,1
1001G,2,2,11,1158,1
1001G,2,3,10,1158,1
1001G,2,4,10,1158,1
1001G,2,5,11,1158,1
1001G,2,6,11,1158,1
1001G,3,1,5,1158,
1001G,3,2,7,1158,
1001G,3,3,7,1158,
1001G,3,4,4,1158,
1001G,3,5,2,1158,1
1001G,3,6,1,1158,1
1001G,4,1,9,1158,1
1001G,4,2,8,1158,1
1001G,4,3,8,1158,
1001G,4,4,6,1158,1
1001G,4,5,6,1158,
1001G,4,6,6,1158,1
1001G,5,1,7,1158,1
1001G,5,2,1,1158,
1001G,5,3,10,1158,1
1001G,5,4,9,1158,1
1001G,5,5,9,1158,
1001G,5,6,6,1158,
1001G,6,1,6,1158,1
1001G,6,2,1,1158,1
1001G,6,3,9,1158,1
1001G,6,4,8,1158,1
1001G,6,5,6,1158,1
1001G,6,6,3,1158,1
1001G,7,1,5,1158,
1001G,7,2,11,1158,1
1001G,7,3,3,1158,
1001G,7,4,4,1158,
1001G,7,5,9,1158,1
1001G,7,6,7,1158,
1001G,8,1,3,1158,1
1001G,8,2,11,1158,1
1001G,8,3,2,1158,
1001G,8,4,5,1158,1
1001G,8,5,8,1158,1
1001G,8,6,9,1158,1
1001G,9,1,4,1158,1
1001G,9,2,4,1158,1
1001G,9,3,10,1158,1
1001G,9,4,9,1158,1
1001G,9,5,9,1158,1
1001G,9,6,4,1158,1
1001G,1,1,10,6017,
1001G,1,2,1,6017,
1001G,1,3,6,6017,
1001G,1,4,6,6017,
1001G,1,5,1,6017,
1001G,1,6,7,6017,
1001G,2,1,5,6017,1
1001G,2,2,2,6017,
1001G,2,3,4,6017,1
1001G,2,4,8,6017,
1001G,2,5,10,6017,
1001G,2,6,3,6017,
1001G,3,1,7,6017,
1001G,3,2,10,6017,1
1001G,3,3,10,6017,1
1001G,3,4,5,6017,
1001G,3,5,10,6017,1
1001G,3,6,5,6017,
1001G,4,1,6,6017,1
1001G,4,2,9,6017,1
1001G,4,3,10,6017,1
1001G,4,4,9,6017,
1001G,4,5,3,6017,1
1001G,4,6,1,6017,
1001G,5,1,2,6017,
1001G,5,2,9,6017,1
1001G,5,3,5,6017,
1001G,5,4,6,6017,
1001G,5,5,2,6017,
1001G,5,6,2,6017,
1001G,6,1,8,6017,1
1001G,6,2,10,6017,1
1001G,6,3,8,6017,1
1001G,6,4,3,6017,1
1001G,6,5,5,6017,1
1001G,6,6,7,6017,
1001G,7,1,11,6017,
1001G,7,2,7,6017,
1001G,7,3,9,6017,1
1001G,7,4,3,6017,
1001G,7,5,2,6017,
1001G,7,6,3,6017,
1001G,8,1,9,6017,1
1001G,8,2,6,6017,1
1001G,8,3,3,6017,1
1001G,8,4,7,6017,1
1001G,8,5,10,6017,1
1001G,8,6,8,6017,1
1001G,9,1,1,6017,
1001G,9,2,10,6017,1
1001G,9,3,2,6017,1
1001G,9,4,8,6017,1
1001G,9,5,1,6017,1
1001G,9,6,10,6017,1
1001G,1,1,7,6024,
1001G,1,2,5,6024,
1001G,1,3,11,6024,
1001G,1,4,8,6024,
1001G,1,5,9,6024,
1001G,1,6,10,6024,
1001G,2,1,3,6024,1
1001G,2,2,8,6024,
1001G,2,3,1,6024,1
1001G,2,4,3,6024,1
1001G,2,5,5,6024,
1001G,2,6,5,6024,1
1001G,3,1,2,6024,
1001G,3,2,11,6024,
1001G,3,3,6,6024,
1001G,3,4,3,6024,
1001G,3,5,8,6024,1
1001G,3,6,7,6024,
1001G,4,1,10,6024,1
1001G,4,2,10,6024,1
1001G,4,3,1,6024,
1001G,4,4,8,6024,1
1001G,4,5,10,6024,1
1001G,4,6,10,6024,
1001G,5,1,4,6024,
1001G,5,2,11,6024,1
1001G,5,3,7,6024,1
1001G,5,4,5,6024,1
1001G,5,5,3,6024,
1001G,5,6,1,6024,1
1001G,6,1,4,6024,
1001G,6,2,9,6024,1
1001G,6,3,3,6024,1
1001G,6,4,4,6024,1
1001G,6,5,4,6024,1
1001G,6,6,6,6024,
1001G,7,1,4,6024,
1001G,7,2,10,6024,1
1001G,7,3,6,6024,
1001G,7,4,5,6024,
1001G,7,5,1,6024,
1001G,7,6,4,6024,
1001G,8,1,1,6024,
1001G,8,2,1,6024,
1001G,8,3,7,6024,1
1001G,8,4,8,6024,1
1001G,8,5,4,6024,1
1001G,8,6,2,6024,
1001G,9,1,10,6024,
1001G,9,2,7,6024,1
1001G,9,3,7,6024,1
1001G,9,4,3,6024,
1001G,9,5,7,6024,
1001G,9,6,6,6024,
1001G,1,1,1,6046,
1001G,1,2,4,6046,
1001G,1,3,9,6046,
1001G,1,4,5,6046,
1001G,1,5,8,6046,
1001G,1,6,3,6046,
1001G,2,1,10,6046,1
1001G,2,2,4,6046,1
1001G,2,3,5,6046,1
1001G,2,4,7,6046,
1001G,2,5,9,6046,1
1001G,2,6,6,6046,1
1001G,3,1,8,6046,1
1001G,3,2,9,6046,1
1001G,3,3,11,6046,1
1001G,3,4,11,6046,1
1001G,3,5,3,6046,1
1001G,3,6,2,6046,1
1001G,4,1,4,6046,1
1001G,4,2,4,6046,
1001G,4,3,11,6046,1
1001G,4,4,5,6046,1
1001G,4,5,7,6046,1
1001G,4,6,5,6046,1
1001G,5,1,3,6046,
1001G,5,2,4,6046,
1001G,5,3,3,6046,1
1001G,5,4,1,6046,
1001G,5,5,7,6046,1
1001G,5,6,7,6046,1
1001G,6,1,3,6046,1
1001G,6,2,7,6046,1
1001G,6,3,4,6046,1
1001G,6,4,1,6046,
1001G,6,5,2,6046,
1001G,6,6,4,6046,
1001G,7,1,10,6046,
1001G,7,2,5,6046,
1001G,7,3,1,6046,
1001G,7,4,6,6046,
1001G,7,5,10,6046,1
1001G,7,6,5,6046,
1001G,8,1,11,6046,1
1001G,8,2,2,6046,
1001G,8,3,10,6046,1
1001G,8,4,6,6046,1
1001G,8,5,3,6046,1
1001G,8,6,10,6046,
1001G,9,1,6,6046,1
1001G,9,2,9,6046,
1001G,9,3,6,6046,
1001G,9,4,2,6046,1
1001G,9,5,8,6046,1
1001G,9,6,5,6046,
1001G,1,1,2,6092,
1001G,1,2,10,6092,
1001G,1,3,3,6092,
1001G,1,4,11,6092,1
1001G,1,5,7,6092,
1001G,1,6,2,6092,
1001G,2,1,1,6092,1
1001G,2,2,9,6092,1
1001G,2,3,11,6092,
1001G,2,4,11,6092,1
1001G,2,5,8,6092,
1001G,2,6,9,6092,1
1001G,3,1,4,6092,1
1001G,3,2,8,6092,1
1001G,3,3,2,6092,
1001G,3,4,10,6092,1
1001G,3,5,9,6092,1
1001G,3,6,11,6092,
1001G,4,1,2,6092,
1001G,4,2,5,6092,
1001G,4,3,7,6092,1
1001G,4,4,7,6092,1
1001G,4,5,2,6092,1
1001G,4,6,4,6092,
1001G,5,1,11,6092,1
1001G,5,2,10,6092,1
1001G,5,3,9,6092,1
1001G,5,4,2,6092,
1001G,5,5,4,6092,
1001G,5,6,10,6092,1
1001G,6,1,10,6092,
1001G,6,2,8,6092,
1001G,6,3,11,6092,1
1001G,6,4,7,6092,
1001G,6,5,1,6092,
1001G,6,6,8,6092,
1001G,7,1,2,6092,
1001G,7,2,6,6092,
1001G,7,3,8,6092,1
1001G,7,4,7,6092,1
1001G,7,5,8,6092,1
1001G,7,6,9,6092,
1001G,8,1,7,6092,1
1001G,8,2,8,6092,1
1001G,8,3,1,6092,
1001G,8,4,4,6092,1
1001G,8,5,7,6092,1
1001G,8,6,7,6092,1
1001G,9,1,3,6092,1
1001G,9,2,8,6092,1
1001G,9,3,3,6092,1
1001G,9,4,6,6092,
1001G,9,5,11,6092,
1001G,9,6,11,6092,
1001G,1,1,11,6125,
1001G,1,2,8,6125,
1001G,1,3,10,6125,
1001G,1,4,9,6125,
1001G,1,5,11,6125,
1001G,1,6,1,6125,
1001G,2,1,4,6125,1
1001G,2,2,5,6125,1
1001G,2,3,8,6125,
1001G,2,4,1,6125,1
1001G,2,5,3,6125,
1001G,2,6,10,6125,
1001G,3,1,6,6125,1
1001G,3,2,2,6125,
1001G,3,3,3,6125,1
1001G,3,4,8,6125,1
1001G,3,5,5,6125,
1001G,3,6,8,6125,1
1001G,4,1,8,6125,1
1001G,4,2,11,6125,1
1001G,4,3,6,6125,1
1001G,4,4,2,6125,
1001G,4,5,5,6125,1
1001G,4,6,3,6125,1
1001G,5,1,10,6125,
1001G,5,2,8,6125,1
1001G,5,3,4,6125,1
1001G,5,4,11,6125,1
1001G,5,5,1,6125,
1001G,5,6,8,6125,
1001G,6,1,9,6125,
1001G,6,2,11,6125,1
1001G,6,3,10,6125,1
1001G,6,4,10,6125,
1001G,6,5,9,6125,1
1001G,6,6,10,6125,
1001G,7,1,3,6125,
1001G,7,2,9,6125,
1001G,7,3,10,6125,
1001G,7,4,10,6125,1
1001G,7,5,4,6125,
1001G,7,6,11,6125,
1001G,8,1,10,6125,1
1001G,8,2,4,6125,1
1001G,8,3,8,6125,1
1001G,8,4,1,6125,1
1001G,8,5,1,6125,1
1001G,8,6,5,6125,
1001G,9,1,8,6125,
1001G,9,2,2,6125,1
1001G,9,3,11,6125,
1001G,9,4,11,6125,1
1001G,9,5,10,6125,1
1001G,9,6,3,6125,
1001G,1,1,3,6184,
1001G,1,2,2,6184,
1001G,1,3,8,6184,
1001G,1,4,7,6184,
1001G,1,5,4,6184,
1001G,1,6,11,6184,1
1001G,2,1,7,6184,1
1001G,2,2,3,6184,1
1001G,2,3,2,6184,1
1001G,2,4,9,6184,
1001G,2,5,2,6184,
1001G,2,6,7,6184,1
1001G,3,1,3,6184,
1001G,3,2,3,6184,1
1001G,3,3,5,6184,1
1001G,3,4,1,6184,1
1001G,3,5,6,6184,1
1001G,3,6,3,6184,1
1001G,4,1,1,6184,1
1001G,4,2,3,6184,
1001G,4,3,3,6184,
1001G,4,4,4,6184,1
1001G,4,5,1,6184,
1001G,4,6,11,6184,1
1001G,5,1,9,6184,1
1001G,5,2,7,6184,1
1001G,5,3,2,6184,
1001G,5,4,3,6184,
1001G,5,5,10,6184,1
1001G,5,6,4,6184,
1001G,6,1,5,6184,
1001G,6,2,2,6184,
1001G,6,3,2,6184,
1001G,6,4,6,6184,1
1001G,6,5,8,6184,
1001G,6,6,2,6184,
1001G,7,1,9,6184,
1001G,7,2,1,6184,
1001G,7,3,7,6184,1
1001G,7,4,9,6184,1
1001G,7,5,3,6184,
1001G,7,6,8,6184,
1001G,8,1,4,6184,1
1001G,8,2,5,6184,1
1001G,8,3,9,6184,1
1001G,8,4,2,6184,1
1001G,8,5,11,6184,1
1001G,8,6,6,6184,1
1001G,9,1,5,6184,
1001G,9,2,6,6184,1
1001G,9,3,9,6184,1
1001G,9,4,5,6184,1
1001G,9,5,5,6184,
1001G,9,6,9,6184,1
1001G,1,1,9,6237,
1001G,1,2,7,6237,
1001G,1,3,1,6237,
1001G,1,4,3,6237,
1001G,1,5,5,6237,
1001G,1,6,4,6237,
1001G,2,1,11,6237,1
1001G,2,2,6,6237,1
1001G,2,3,9,6237,1
1001G,2,4,4,6237,1
1001G,2,5,1,6237,1
1001G,2,6,2,6237,1
1001G,3,1,9,6237,1
1001G,3,2,6,6237,
1001G,3,3,9,6237,1
1001G,3,4,2,6237,1
1001G,3,5,11,6237,1
1001G,3,6,9,6237,1
1001G,4,1,3,6237,1
1001G,4,2,7,6237,1
1001G,4,3,5,6237,1
1001G,4,4,11,6237,1
1001G,4,5,4,6237,
1001G,4,6,9,6237,1
1001G,5,1,5,6237,1
1001G,5,2,6,6237,
1001G,5,3,8,6237,1
1001G,5,4,10,6237,1
1001G,5,5,11,6237,1
1001G,5,6,5,6237,
1001G,6,1,2,6237,1
1001G,6,2,5,6237,1
1001G,6,3,6,6237,1
1001G,6,4,11,6237,1
1001G,6,5,10,6237,1
1001G,6,6,9,6237,
1001G,7,1,8,6237,1
1001G,7,2,4,6237,
1001G,7,3,5,6237,
1001G,7,4,1,6237,
1001G,7,5,6,6237,
1001G,7,6,2,6237,
1001G,8,1,8,6237,
1001G,8,2,10,6237,1
1001G,8,3,4,6237,1
1001G,8,4,3,6237,1
1001G,8,5,6,6237,1
1001G,8,6,1,6237,1
1001G,9,1,11,6237,
1001G,9,2,11,6237,1
1001G,9,3,1,6237,
1001G,9,4,4,6237,1
1001G,9,5,3,6237,1
1001G,9,6,1,6237,1
1001G,1,1,6,6244,
1001G,1,2,6,6244,
1001G,1,3,2,6244,
1001G,1,4,4,6244,
1001G,1,5,3,6244,
1001G,1,6,9,6244,
1001G,2,1,9,6244,1
1001G,2,2,10,6244,
1001G,2,3,3,6244,1
1001G,2,4,2,6244,1
1001G,2,5,7,6244,
1001G,2,6,8,6244,1
1001G,3,1,1,6244,
1001G,3,2,1,6244,
1001G,3,3,1,6244,1
1001G,3,4,6,6244,1
1001G,3,5,1,6244,1
1001G,3,6,6,6244,
1001G,4,1,11,6244,1
1001G,4,2,1,6244,
1001G,4,3,4,6244,1
1001G,4,4,10,6244,
1001G,4,5,9,6244,1
1001G,4,6,8,6244,
1001G,5,1,8,6244,1
1001G,5,2,2,6244,
1001G,5,3,1,6244,1
1001G,5,4,4,6244,1
1001G,5,5,5,6244,
1001G,5,6,3,6244,
1001G,6,1,1,6244,1
1001G,6,2,6,6244,1
1001G,6,3,1,6244,
1001G,6,4,2,6244,1
1001G,6,5,3,6244,1
1001G,6,6,5,6244,
1001G,7,1,6,6244,
1001G,7,2,2,6244,
1001G,7,3,2,6244,
1001G,7,4,2,6244,
1001G,7,5,11,6244,1
1001G,7,6,1,6244,1
1001G,8,1,5,6244,1
1001G,8,2,9,6244,1
1001G,8,3,5,6244,
1001G,8,4,9,6244,1
1001G,8,5,5,6244,1
1001G,8,6,3,6244,
1001G,9,1,9,6244,
1001G,9,2,1,6244,1
1001G,9,3,5,6244,
1001G,9,4,7,6244,1
1001G,9,5,6,6244,
1001G,9,6,2,6244,1
1001G,1,1,8,8231,
1001G,1,2,3,8231,
1001G,1,3,4,8231,
1001G,1,4,2,8231,
1001G,1,5,2,8231,
1001G,1,6,8,8231,
1001G,2,1,6,8231,1
1001G,2,2,7,8231,1
1001G,2,3,6,8231,
1001G,2,4,5,8231,
1001G,2,5,6,8231,
1001G,2,6,4,8231,
1001G,3,1,11,8231,1
1001G,3,2,5,8231,1
1001G,3,3,4,8231,
1001G,3,4,9,8231,1
1001G,3,5,7,8231,1
1001G,3,6,4,8231,
1001G,4,1,5,8231,1
1001G,4,2,6,8231,1
1001G,4,3,9,8231,
1001G,4,4,1,8231,1
1001G,4,5,11,8231,
1001G,4,6,7,8231,
1001G,5,1,1,8231,
1001G,5,2,5,8231,
1001G,5,3,11,8231,1
1001G,5,4,8,8231,1
1001G,5,5,6,8231,1
1001G,5,6,9,8231,
1001G,6,1,11,8231,1
1001G,6,2,3,8231,1
1001G,6,3,7,8231,1
1001G,6,4,5,8231,
1001G,6,5,11,8231,
1001G,6,6,11,8231,
1001G,7,1,7,8231,1
1001G,7,2,8,8231,1
1001G,7,3,4,8231,
1001G,7,4,8,8231,1
1001G,7,5,7,8231,
1001G,7,6,10,8231,1
1001G,8,1,2,8231,1
1001G,8,2,7,8231,1
1001G,8,3,11,8231,1
1001G,8,4,11,8231,
1001G,8,5,2,8231,1
1001G,8,6,11,8231,1
1001G,9,1,7,8231,1
1001G,9,2,5,8231,
1001G,9,3,4,8231,1
1001G,9,4,1,8231,
1001G,9,5,2,8231,1
1001G,9,6,8,8231,1
1001G,1,1,4,NA,
1001G,1,2,11,NA,
1001G,1,3,7,NA,
1001G,1,4,1,NA,
1001G,1,5,10,NA,
1001G,1,6,5,NA,
1001G,2,1,2,NA,
1001G,2,2,1,NA,
1001G,2,3,7,NA,
1001G,2,4,6,NA,
1001G,2,5,4,NA,
1001G,2,6,1,NA,
1001G,3,1,10,NA,
1001G,3,2,4,NA,
1001G,3,3,8,NA,
1001G,3,4,7,NA,
1001G,3,5,4,NA,
1001G,3,6,10,NA,
1001G,4,1,7,NA,
