id,experiment,tray,long_edge,short_edge,mother,genotype,type,seq_plate,seq_row,seq_col
F2.1.001,F2s,1,1,1,F1.1.02,1158 x 6092,F2,,,
F2.1.002,F2s,1,1,2,F1.1.02,1158 x 6092,F2,,,
F2.1.003,F2s,1,1,3,F1.1.02,1158 x 6092,F2,,,
F2.5.001,F2s,1,1,4,F1.5.05,6024 x 8231,F2,,,
F2.7.001,F2s,1,1,5,F1.7.09,8231 x 1158,F2,,,
F2.7.002,F2s,1,1,6,F1.7.09,8231 x 1158,F2,2,D,10
F2.2.001,F2s,1,2,1,F1.2.02,1158 x 6125,F2,,,
F2.1.004,F2s,1,2,2,F1.1.02,1158 x 6092,F2,,,
F2.1.005,F2s,1,2,3,F1.1.02,1158 x 6092,F2,,,
S2.5.01,F2s,1,2,4,S1.5.16,6092,selfed_parent,,,
F2.2.002,F2s,1,2,5,F1.2.02,1158 x 6125,F2,,,
F2.7.003,F2s,1,2,6,F1.7.09,8231 x 1158,F2,,,
F2.5.002,F2s,1,3,1,F1.5.05,6024 x 8231,F2,,,
F2.2.003,F2s,1,3,2,F1.2.02,1158 x 6125,F2,,,
F2.1.006,F2s,1,3,3,F1.1.02,1158 x 6092,F2,,,
F2.1.007,F2s,1,3,4,F1.1.02,1158 x 6092,F2,,,
F2.5.003,F2s,1,3,5,F1.5.05,6024 x 8231,F2,,,
F2.7.004,F2s,1,3,6,F1.7.09,8231 x 1158,F2,,,
F2.7.005,F2s,1,4,1,F1.7.09,8231 x 1158,F2,,,
F2.7.006,F2s,1,4,2,F1.7.09,8231 x 1158,F2,2,C,10
F2.1.008,F2s,1,4,3,F1.1.02,1158 x 6092,F2,,,
F2.7.007,F2s,1,4,4,F1.7.09,8231 x 1158,F2,,,
F2.2.004,F2s,1,4,5,F1.2.02,1158 x 6125,F2,,,
F2.2.005,F2s,1,4,6,F1.2.02,1158 x 6125,F2,,,
S2.7.01,F2s,1,5,1,S1.7.08,6125,selfed_parent,,,
F2.7.008,F2s,1,5,2,F1.7.09,8231 x 1158,F2,,,
F2.2.006,F2s,1,5,3,F1.2.02,1158 x 6125,F2,,,
F2.1.009,F2s,1,5,4,F1.1.02,1158 x 6092,F2,,,
F2.1.010,F2s,1,5,5,F1.1.02,1158 x 6092,F2,,,
F2.2.007,F2s,1,5,6,F1.2.02,1158 x 6125,F2,,,
S2.10.01,F2s,1,6,1,S1.10.01,8231,selfed_parent,,,
F2.1.011,F2s,1,6,2,F1.1.02,1158 x 6092,F2,,,
NA,F2s,1,6,3,NA,NA,blank,,,
F2.7.009,F2s,1,6,4,F1.7.09,8231 x 1158,F2,2,B,10
F2.5.004,F2s,1,6,5,F1.5.05,6024 x 8231,F2,,,
F2.5.005,F2s,1,6,6,F1.5.05,6024 x 8231,F2,,,
F2.5.006,F2s,1,7,1,F1.5.05,6024 x 8231,F2,,,
F2.5.007,F2s,1,7,2,F1.5.05,6024 x 8231,F2,,,
F2.7.010,F2s,1,7,3,F1.7.09,8231 x 1158,F2,2,F,9
S2.03.01,F2s,1,7,4,S1.03.01,6024,selfed_parent,,,
F2.1.012,F2s,1,7,5,F1.1.02,1158 x 6092,F2,,,
F2.2.008,F2s,1,7,6,F1.2.02,1158 x 6125,F2,,,
F2.7.011,F2s,1,8,1,F1.7.09,8231 x 1158,F2,2,A,11
F2.7.012,F2s,1,8,2,F1.7.09,8231 x 1158,F2,2,H,9
F2.5.008,F2s,1,8,3,F1.5.05,6024 x 8231,F2,,,
F2.7.013,F2s,1,8,4,F1.7.09,8231 x 1158,F2,2,G,9
F2.2.009,F2s,1,8,5,F1.2.02,1158 x 6125,F2,,,
F2.1.013,F2s,1,8,6,F1.1.02,1158 x 6092,F2,,,
F2.1.014,F2s,1,9,1,F1.1.02,1158 x 6092,F2,,,
F2.7.014,F2s,1,9,2,F1.7.09,8231 x 1158,F2,2,A,10
F2.2.010,F2s,1,9,3,F1.2.02,1158 x 6125,F2,,,
F2.5.009,F2s,1,9,4,F1.5.05,6024 x 8231,F2,,,
S2.2.01,F2s,1,9,5,S1.2.09,1158,selfed_parent,,,
F2.1.015,F2s,1,9,6,F1.1.02,1158 x 6092,F2,,,
F2.2.011,F2s,1,10,1,F1.2.02,1158 x 6125,F2,,,
F2.5.010,F2s,1,10,2,F1.5.05,6024 x 8231,F2,,,
F2.2.012,F2s,1,10,3,F1.2.02,1158 x 6125,F2,,,
F2.5.011,F2s,1,10,4,F1.5.05,6024 x 8231,F2,,,
F2.5.012,F2s,1,10,5,F1.5.05,6024 x 8231,F2,,,
F2.2.013,F2s,1,10,6,F1.2.02,1158 x 6125,F2,,,
F2.5.013,F2s,1,11,1,F1.5.05,6024 x 8231,F2,,,
F2.2.014,F2s,1,11,2,F1.2.02,1158 x 6125,F2,,,
F2.7.015,F2s,1,11,3,F1.7.09,8231 x 1158,F2,2,E,9
F2.5.014,F2s,1,11,4,F1.5.05,6024 x 8231,F2,,,
F2.2.015,F2s,1,11,5,F1.2.02,1158 x 6125,F2,,,
F2.5.015,F2s,1,11,6,F1.5.05,6024 x 8231,F2,,,
F2.1.016,F2s,2,1,1,F1.1.02,1158 x 6092,F2,,,
F2.2.016,F2s,2,1,2,F1.2.02,1158 x 6125,F2,,,
F2.7.016,F2s,2,1,3,F1.7.09,8231 x 1158,F2,,,
F2.1.017,F2s,2,1,4,F1.1.02,1158 x 6092,F2,,,
F2.7.017,F2s,2,1,5,F1.7.09,8231 x 1158,F2,,,
F2.1.018,F2s,2,1,6,F1.1.02,1158 x 6092,F2,,,
F2.7.018,F2s,2,2,1,F1.7.09,8231 x 1158,F2,3,B,12
F2.1.019,F2s,2,2,2,F1.1.02,1158 x 6092,F2,,,
F2.7.019,F2s,2,2,3,F1.7.09,8231 x 1158,F2,3,A,12
F2.5.016,F2s,2,2,4,F1.5.05,6024 x 8231,F2,,,
F2.1.020,F2s,2,2,5,F1.1.02,1158 x 6092,F2,,,
F2.7.020,F2s,2,2,6,F1.7.09,8231 x 1158,F2,3,D,12
F2.7.021,F2s,2,3,1,F1.7.09,8231 x 1158,F2,3,C,12
F2.1.021,F2s,2,3,2,F1.1.02,1158 x 6092,F2,,,
F2.7.022,F2s,2,3,3,F1.7.09,8231 x 1158,F2,,,
S2.10.02,F2s,2,3,4,S1.10.01,8231,selfed_parent,,,
F2.5.017,F2s,2,3,5,F1.5.05,6024 x 8231,F2,,,
F2.1.022,F2s,2,3,6,F1.1.02,1158 x 6092,F2,,,
F2.7.023,F2s,2,4,1,F1.7.09,8231 x 1158,F2,,,
F2.2.017,F2s,2,4,2,F1.2.02,1158 x 6125,F2,,,
F2.1.023,F2s,2,4,3,F1.1.02,1158 x 6092,F2,,,
F2.2.018,F2s,2,4,4,F1.2.02,1158 x 6125,F2,,,
F2.2.019,F2s,2,4,5,F1.2.02,1158 x 6125,F2,,,
F2.2.020,F2s,2,4,6,F1.2.02,1158 x 6125,F2,,,
F2.2.021,F2s,2,5,1,F1.2.02,1158 x 6125,F2,,,
F2.2.022,F2s,2,5,2,F1.2.02,1158 x 6125,F2,,,
F2.1.024,F2s,2,5,3,F1.1.02,1158 x 6092,F2,,,
F2.7.024,F2s,2,5,4,F1.7.09,8231 x 1158,F2,,,
F2.1.025,F2s,2,5,5,F1.1.02,1158 x 6092,F2,,,
F2.5.018,F2s,2,5,6,F1.5.05,6024 x 8231,F2,,,
F2.2.023,F2s,2,6,1,F1.2.02,1158 x 6125,F2,,,
F2.7.025,F2s,2,6,2,F1.7.09,8231 x 1158,F2,,,
F2.5.019,F2s,2,6,3,F1.5.05,6024 x 8231,F2,,,
F2.5.020,F2s,2,6,4,F1.5.05,6024 x 8231,F2,,,
S2.5.02,F2s,2,6,5,S1.5.16,6092,selfed_parent,,,
F2.5.021,F2s,2,6,6,F1.5.05,6024 x 8231,F2,,,
F2.7.026,F2s,2,7,1,F1.7.09,8231 x 1158,F2,3,F,12
F2.5.022,F2s,2,7,2,F1.5.05,6024 x 8231,F2,,,
F2.7.027,F2s,2,7,3,F1.7.09,8231 x 1158,F2,,,
F2.7.028,F2s,2,7,4,F1.7.09,8231 x 1158,F2,,,
F2.7.029,F2s,2,7,5,F1.7.09,8231 x 1158,F2,,,
F2.5.023,F2s,2,7,6,F1.5.05,6024 x 8231,F2,,,
F2.1.026,F2s,2,8,1,F1.1.02,1158 x 6092,F2,,,
F2.2.024,F2s,2,8,2,F1.2.02,1158 x 6125,F2,,,
F2.2.025,F2s,2,8,3,F1.2.02,1158 x 6125,F2,,,
F2.2.026,F2s,2,8,4,F1.2.02,1158 x 6125,F2,,,
F2.5.024,F2s,2,8,5,F1.5.05,6024 x 8231,F2,,,
F2.5.025,F2s,2,8,6,F1.5.05,6024 x 8231,F2,,,
F2.2.027,F2s,2,9,1,F1.2.02,1158 x 6125,F2,,,
F2.2.028,F2s,2,9,2,F1.2.02,1158 x 6125,F2,,,
F2.1.027,F2s,2,9,3,F1.1.02,1158 x 6092,F2,,,
F2.5.026,F2s,2,9,4,F1.5.05,6024 x 8231,F2,,,
S2.2.02,F2s,2,9,5,S1.2.09,1158,selfed_parent,,,
F2.7.030,F2s,2,9,6,F1.7.09,8231 x 1158,F2,3,E,12
S2.7.02,F2s,2,10,1,S1.7.08,6125,selfed_parent,,,
F2.2.029,F2s,2,10,2,F1.2.02,1158 x 6125,F2,,,
F2.1.028,F2s,2,10,3,F1.1.02,1158 x 6092,F2,,,
F2.5.027,F2s,2,10,4,F1.5.05,6024 x 8231,F2,,,
NA,F2s,2,10,5,NA,NA,blank,,,
F2.2.030,F2s,2,10,6,F1.2.02,1158 x 6125,F2,,,
F2.5.028,F2s,2,11,1,F1.5.05,6024 x 8231,F2,,,
S2.03.02,F2s,2,11,2,S1.03.01,6024,selfed_parent,,,
F2.1.029,F2s,2,11,3,F1.1.02,1158 x 6092,F2,,,
F2.5.029,F2s,2,11,4,F1.5.05,6024 x 8231,F2,,,
F2.5.030,F2s,2,11,5,F1.5.05,6024 x 8231,F2,,,
F2.1.030,F2s,2,11,6,F1.1.02,1158 x 6092,F2,,,
F2.2.031,F2s,3,1,1,F1.2.02,1158 x 6125,F2,,,
F2.7.031,F2s,3,1,2,F1.7.09,8231 x 1158,F2,2,B,11
F2.5.031,F2s,3,1,3,F1.5.05,6024 x 8231,F2,,,
F2.2.032,F2s,3,1,4,F1.2.02,1158 x 6125,F2,,,
F2.1.031,F2s,3,1,5,F1.1.02,1158 x 6092,F2,,,
F2.5.032,F2s,3,1,6,F1.5.05,6024 x 8231,F2,,,
F2.2.033,F2s,3,2,1,F1.2.02,1158 x 6125,F2,,,
F2.2.034,F2s,3,2,2,F1.2.02,1158 x 6125,F2,,,
F2.7.032,F2s,3,2,3,F1.7.09,8231 x 1158,F2,2,A,12
F2.5.033,F2s,3,2,4,F1.5.05,6024 x 8231,F2,,,
F2.2.035,F2s,3,2,5,F1.2.02,1158 x 6125,F2,,,
F2.1.032,F2s,3,2,6,F1.1.02,1158 x 6092,F2,,,
F2.5.034,F2s,3,3,1,F1.5.05,6024 x 8231,F2,,,
F2.7.033,F2s,3,3,2,F1.7.09,8231 x 1158,F2,2,F,12
F2.7.034,F2s,3,3,3,F1.7.09,8231 x 1158,F2,2,D,12
F2.5.035,F2s,3,3,4,F1.5.05,6024 x 8231,F2,,,
F2.2.036,F2s,3,3,5,F1.2.02,1158 x 6125,F2,,,
F2.7.035,F2s,3,3,6,F1.7.09,8231 x 1158,F2,2,C,12
F2.5.036,F2s,3,4,1,F1.5.05,6024 x 8231,F2,,,
F2.1.033,F2s,3,4,2,F1.1.02,1158 x 6092,F2,,,
F2.1.034,F2s,3,4,3,F1.1.02,1158 x 6092,F2,,,
F2.2.037,F2s,3,4,4,F1.2.02,1158 x 6125,F2,,,
F2.5.037,F2s,3,4,5,F1.5.05,6024 x 8231,F2,,,
F2.2.038,F2s,3,4,6,F1.2.02,1158 x 6125,F2,,,
F2.5.038,F2s,3,5,1,F1.5.05,6024 x 8231,F2,,,
F2.5.039,F2s,3,5,2,F1.5.05,6024 x 8231,F2,,,
F2.5.040,F2s,3,5,3,F1.5.05,6024 x 8231,F2,,,
F2.5.041,F2s,3,5,4,F1.5.05,6024 x 8231,F2,,,
F2.2.039,F2s,3,5,5,F1.2.02,1158 x 6125,F2,,,
F2.7.036,F2s,3,5,6,F1.7.09,8231 x 1158,F2,2,H,11
F2.5.042,F2s,3,6,1,F1.5.05,6024 x 8231,F2,,,
F2.2.040,F2s,3,6,2,F1.2.02,1158 x 6125,F2,,,
S2.03.03,F2s,3,6,3,S1.03.01,6024,selfed_parent,,,
F2.1.035,F2s,3,6,4,F1.1.02,1158 x 6092,F2,,,
F2.5.043,F2s,3,6,5,F1.5.05,6024 x 8231,F2,,,
F2.7.037,F2s,3,6,6,F1.7.09,8231 x 1158,F2,2,C,11
F2.1.036,F2s,3,7,1,F1.1.02,1158 x 6092,F2,,,
F2.1.037,F2s,3,7,2,F1.1.02,1158 x 6092,F2,,,
F2.7.038,F2s,3,7,3,F1.7.09,8231 x 1158,F2,2,B,12
F2.1.038,F2s,3,7,4,F1.1.02,1158 x 6092,F2,,,
S2.5.03,F2s,3,7,5,S1.5.16,6092,selfed_parent,,,
S2.10.03,F2s,3,7,6,S1.10.01,8231,selfed_parent,,,
F2.1.039,F2s,3,8,1,F1.1.02,1158 x 6092,F2,,,
F2.5.044,F2s,3,8,2,F1.5.05,6024 x 8231,F2,,,
NA,F2s,3,8,3,NA,NA,blank,,,
F2.2.041,F2s,3,8,4,F1.2.02,1158 x 6125,F2,,,
S2.2.03,F2s,3,8,5,S1.2.09,1158,selfed_parent,,,
F2.2.042,F2s,3,8,6,F1.2.02,1158 x 6125,F2,,,
F2.7.039,F2s,3,9,1,F1.7.09,8231 x 1158,F2,2,G,12
F2.7.040,F2s,3,9,2,F1.7.09,8231 x 1158,F2,2,H,12
F2.5.045,F2s,3,9,3,F1.5.05,6024 x 8231,F2,,,
F2.1.040,F2s,3,9,4,F1.1.02,1158 x 6092,F2,,,
F2.1.041,F2s,3,9,5,F1.1.02,1158 x 6092,F2,,,
F2.1.042,F2s,3,9,6,F1.1.02,1158 x 6092,F2,,,
F2.7.041,F2s,3,10,1,F1.7.09,8231 x 1158,F2,2,G,11
F2.2.043,F2s,3,10,2,F1.2.02,1158 x 6125,F2,,,
F2.1.043,F2s,3,10,3,F1.1.02,1158 x 6092,F2,,,
F2.1.044,F2s,3,10,4,F1.1.02,1158 x 6092,F2,,,
F2.7.042,F2s,3,10,5,F1.7.09,8231 x 1158,F2,2,D,11
F2.7.043,F2s,3,10,6,F1.7.09,8231 x 1158,F2,2,E,11
F2.1.045,F2s,3,11,1,F1.1.02,1158 x 6092,F2,,,
F2.2.044,F2s,3,11,2,F1.2.02,1158 x 6125,F2,,,
S2.7.03,F2s,3,11,3,S1.7.08,6125,selfed_parent,,,
F2.7.044,F2s,3,11,4,F1.7.09,8231 x 1158,F2,2,F,11
F2.2.045,F2s,3,11,5,F1.2.02,1158 x 6125,F2,,,
F2.7.045,F2s,3,11,6,F1.7.09,8231 x 1158,F2,2,E,12
F2.5.046,F2s,4,1,1,F1.5.05,6024 x 8231,F2,,,
F2.5.047,F2s,4,1,2,F1.5.05,6024 x 8231,F2,,,
F2.2.046,F2s,4,1,3,F1.2.02,1158 x 6125,F2,,,
F2.1.046,F2s,4,1,4,F1.1.02,1158 x 6092,F2,,,
F2.2.047,F2s,4,1,5,F1.2.02,1158 x 6125,F2,,,
F2.7.046,F2s,4,1,6,F1.7.09,8231 x 1158,F2,,,
F2.7.047,F2s,4,2,1,F1.7.09,8231 x 1158,F2,,,
F2.7.048,F2s,4,2,2,F1.7.09,8231 x 1158,F2,3,D,10
F2.1.047,F2s,4,2,3,F1.1.02,1158 x 6092,F2,,,
F2.5.048,F2s,4,2,4,F1.5.05,6024 x 8231,F2,,,
F2.1.048,F2s,4,2,5,F1.1.02,1158 x 6092,F2,,,
F2.2.048,F2s,4,2,6,F1.2.02,1158 x 6125,F2,,,
F2.2.049,F2s,4,3,1,F1.2.02,1158 x 6125,F2,,,
F2.7.049,F2s,4,3,2,F1.7.09,8231 x 1158,F2,3,E,10
F2.1.049,F2s,4,3,3,F1.1.02,1158 x 6092,F2,,,
F2.7.050,F2s,4,3,4,F1.7.09,8231 x 1158,F2,3,C,10
S2.10.04,F2s,4,3,5,S1.10.01,8231,selfed_parent,,,
S2.03.04,F2s,4,3,6,S1.03.01,6024,selfed_parent,,,
F2.5.049,F2s,4,4,1,F1.5.05,6024 x 8231,F2,,,
F2.2.050,F2s,4,4,2,F1.2.02,1158 x 6125,F2,,,
NA,F2s,4,4,3,NA,NA,blank,,,
F2.2.051,F2s,4,4,4,F1.2.02,1158 x 6125,F2,,,
S2.7.04,F2s,4,4,5,S1.7.08,6125,selfed_parent,,,
F2.2.052,F2s,4,4,6,F1.2.02,1158 x 6125,F2,,,
F2.2.053,F2s,4,5,1,F1.2.02,1158 x 6125,F2,,,
F2.2.054,F2s,4,5,2,F1.2.02,1158 x 6125,F2,,,
F2.2.055,F2s,4,5,3,F1.2.02,1158 x 6125,F2,,,
F2.1.050,F2s,4,5,4,F1.1.02,1158 x 6092,F2,,,
S2.5.04,F2s,4,5,5,S1.5.16,6092,selfed_parent,,,
F2.7.051,F2s,4,5,6,F1.7.09,8231 x 1158,F2,3,B,10
F2.5.050,F2s,4,6,1,F1.5.05,6024 x 8231,F2,,,
F2.7.052,F2s,4,6,2,F1.7.09,8231 x 1158,F2,3,A,10
F2.7.053,F2s,4,6,3,F1.7.09,8231 x 1158,F2,,,
F2.1.051,F2s,4,6,4,F1.1.02,1158 x 6092,F2,,,
F2.5.051,F2s,4,6,5,F1.5.05,6024 x 8231,F2,,,
F2.1.052,F2s,4,6,6,F1.1.02,1158 x 6092,F2,,,
S2.2.04,F2s,4,7,1,S1.2.09,1158,selfed_parent,,,
F2.5.052,F2s,4,7,2,F1.5.05,6024 x 8231,F2,,,
F2.1.053,F2s,4,7,3,F1.1.02,1158 x 6092,F2,,,
F2.5.053,F2s,4,7,4,F1.5.05,6024 x 8231,F2,,,
F2.7.054,F2s,4,7,5,F1.7.09,8231 x 1158,F2,3,H,9
F2.1.054,F2s,4,7,6,F1.1.02,1158 x 6092,F2,,,
F2.7.055,F2s,4,8,1,F1.7.09,8231 x 1158,F2,3,F,9
F2.5.054,F2s,4,8,2,F1.5.05,6024 x 8231,F2,,,
F2.5.055,F2s,4,8,3,F1.5.05,6024 x 8231,F2,,,
F2.2.056,F2s,4,8,4,F1.2.02,1158 x 6125,F2,,,
F2.7.056,F2s,4,8,5,F1.7.09,8231 x 1158,F2,,,
F2.5.056,F2s,4,8,6,F1.5.05,6024 x 8231,F2,,,
F2.1.055,F2s,4,9,1,F1.1.02,1158 x 6092,F2,,,
F2.7.057,F2s,4,9,2,F1.7.09,8231 x 1158,F2,,,
F2.7.058,F2s,4,9,3,F1.7.09,8231 x 1158,F2,3,E,9
F2.2.057,F2s,4,9,4,F1.2.02,1158 x 6125,F2,,,
F2.7.059,F2s,4,9,5,F1.7.09,8231 x 1158,F2,3,D,9
F2.5.057,F2s,4,9,6,F1.5.05,6024 x 8231,F2,,,
F2.1.056,F2s,4,10,1,F1.1.02,1158 x 6092,F2,,,
F2.1.057,F2s,4,10,2,F1.1.02,1158 x 6092,F2,,,
F2.1.058,F2s,4,10,3,F1.1.02,1158 x 6092,F2,,,
F2.2.058,F2s,4,10,4,F1.2.02,1158 x 6125,F2,,,
F2.1.059,F2s,4,10,5,F1.1.02,1158 x 6092,F2,3,C,9
F2.2.059,F2s,4,10,6,F1.2.02,1158 x 6125,F2,,,
F2.5.058,F2s,4,11,1,F1.5.05,6024 x 8231,F2,,,
F2.7.060,F2s,4,11,2,F1.7.09,8231 x 1158,F2,3,G,9
F2.2.060,F2s,4,11,3,F1.2.02,1158 x 6125,F2,,,
F2.5.059,F2s,4,11,4,F1.5.05,6024 x 8231,F2,,,
F2.1.060,F2s,4,11,5,F1.1.02,1158 x 6092,F2,,,
F2.5.060,F2s,4,11,6,F1.5.05,6024 x 8231,F2,,,
F2.5.061,F2s,5,1,1,F1.5.05,6024 x 8231,F2,,,
F2.5.062,F2s,5,1,2,F1.5.05,6024 x 8231,F2,,,
F2.1.061,F2s,5,1,3,F1.1.02,1158 x 6092,F2,,,
F2.1.062,F2s,5,1,4,F1.1.02,1158 x 6092,F2,,,
F2.1.063,F2s,5,1,5,F1.1.02,1158 x 6092,F2,,,
F2.2.061,F2s,5,1,6,F1.2.02,1158 x 6125,F2,,,
F2.7.061,F2s,5,2,1,F1.7.09,8231 x 1158,F2,,,
F2.5.063,F2s,5,2,2,F1.5.05,6024 x 8231,F2,,,
F2.5.064,F2s,5,2,3,F1.5.05,6024 x 8231,F2,,,
F2.7.062,F2s,5,2,4,F1.7.09,8231 x 1158,F2,,,
F2.5.065,F2s,5,2,5,F1.5.05,6024 x 8231,F2,,,
F2.7.063,F2s,5,2,6,F1.7.09,8231 x 1158,F2,,,
S2.03.05,F2s,5,3,1,S1.03.01,6024,selfed_parent,,,
F2.2.062,F2s,5,3,2,F1.2.02,1158 x 6125,F2,,,
F2.7.064,F2s,5,3,3,F1.7.09,8231 x 1158,F2,,,
F2.7.065,F2s,5,3,4,F1.7.09,8231 x 1158,F2,,,
F2.7.066,F2s,5,3,5,F1.7.09,8231 x 1158,F2,,,
F2.2.063,F2s,5,3,6,F1.2.02,1158 x 6125,F2,,,
F2.2.064,F2s,5,4,1,F1.2.02,1158 x 6125,F2,,,
F2.2.065,F2s,5,4,2,F1.2.02,1158 x 6125,F2,,,
F2.7.067,F2s,5,4,3,F1.7.09,8231 x 1158,F2,,,
F2.2.066,F2s,5,4,4,F1.2.02,1158 x 6125,F2,,,
F2.7.068,F2s,5,4,5,F1.7.09,8231 x 1158,F2,,,
F2.2.067,F2s,5,4,6,F1.2.02,1158 x 6125,F2,,,
F2.2.068,F2s,5,5,1,F1.2.02,1158 x 6125,F2,,,
F2.1.064,F2s,5,5,2,F1.1.02,1158 x 6092,F2,,,
F2.2.069,F2s,5,5,3,F1.2.02,1158 x 6125,F2,,,
F2.2.070,F2s,5,5,4,F1.2.02,1158 x 6125,F2,,,
F2.5.066,F2s,5,5,5,F1.5.05,6024 x 8231,F2,,,
F2.1.065,F2s,5,5,6,F1.1.02,1158 x 6092,F2,,,
S2.2.05,F2s,5,6,1,S1.2.09,1158,selfed_parent,,,
F2.1.066,F2s,5,6,2,F1.1.02,1158 x 6092,F2,,,
F2.2.071,F2s,5,6,3,F1.2.02,1158 x 6125,F2,,,
S2.5.05,F2s,5,6,4,S1.5.16,6092,selfed_parent,,,
F2.7.069,F2s,5,6,5,F1.7.09,8231 x 1158,F2,,,
F2.1.067,F2s,5,6,6,F1.1.02,1158 x 6092,F2,,,
F2.5.067,F2s,5,7,1,F1.5.05,6024 x 8231,F2,,,
F2.7.070,F2s,5,7,2,F1.7.09,8231 x 1158,F2,,,
F2.2.072,F2s,5,7,3,F1.2.02,1158 x 6125,F2,,,
F2.5.068,F2s,5,7,4,F1.5.05,6024 x 8231,F2,,,
F2.1.068,F2s,5,7,5,F1.1.02,1158 x 6092,F2,,,
F2.7.071,F2s,5,7,6,F1.7.09,8231 x 1158,F2,2,G,10
F2.7.072,F2s,5,8,1,F1.7.09,8231 x 1158,F2,2,F,10
F2.2.073,F2s,5,8,2,F1.2.02,1158 x 6125,F2,,,
F2.7.073,F2s,5,8,3,F1.7.09,8231 x 1158,F2,2,E,10
F2.1.069,F2s,5,8,4,F1.1.02,1158 x 6092,F2,,,
F2.1.070,F2s,5,8,5,F1.1.02,1158 x 6092,F2,,,
F2.1.071,F2s,5,8,6,F1.1.02,1158 x 6092,F2,,,
F2.5.069,F2s,5,9,1,F1.5.05,6024 x 8231,F2,,,
F2.1.072,F2s,5,9,2,F1.1.02,1158 x 6092,F2,,,
F2.5.070,F2s,5,9,3,F1.5.05,6024 x 8231,F2,,,
F2.1.073,F2s,5,9,4,F1.1.02,1158 x 6092,F2,,,
F2.1.074,F2s,5,9,5,F1.1.02,1158 x 6092,F2,,,
