id,experiment,tray,long_edge,short_edge,mother,genotype,type,seq_plate,seq_row,seq_col
F2.7.074,F2s,5,9,6,F1.7.09,8231 x 1158,F2,2,H,10
F2.5.071,F2s,5,10,1,F1.5.05,6024 x 8231,F2,,,
F2.5.072,F2s,5,10,2,F1.5.05,6024 x 8231,F2,,,
F2.7.075,F2s,5,10,3,F1.7.09,8231 x 1158,F2,,,
F2.5.073,F2s,5,10,4,F1.5.05,6024 x 8231,F2,,,
F2.2.074,F2s,5,10,5,F1.2.02,1158 x 6125,F2,,,
F2.5.074,F2s,5,10,6,F1.5.05,6024 x 8231,F2,,,
F2.5.075,F2s,5,11,1,F1.5.05,6024 x 8231,F2,,,
NA,F2s,5,11,2,NA,NA,blank,,,
S2.7.05,F2s,5,11,3,S1.7.08,6125,selfed_parent,,,
S2.10.05,F2s,5,11,4,S1.10.01,8231,selfed_parent,,,
F2.1.075,F2s,5,11,5,F1.1.02,1158 x 6092,F2,,,
F2.2.075,F2s,5,11,6,F1.2.02,1158 x 6125,F2,,,
F2.5.076,F2s,6,1,1,F1.5.05,6024 x 8231,F2,,,
F2.7.076,F2s,6,1,2,F1.7.09,8231 x 1158,F2,3,B,9
F2.2.076,F2s,6,1,3,F1.2.02,1158 x 6125,F2,,,
F2.1.076,F2s,6,1,4,F1.1.02,1158 x 6092,F2,,,
S2.7.06,F2s,6,1,5,S1.7.08,6125,selfed_parent,,,
F2.2.077,F2s,6,1,6,F1.2.02,1158 x 6125,F2,,,
F2.1.077,F2s,6,2,1,F1.1.02,1158 x 6092,F2,,,
F2.5.077,F2s,6,2,2,F1.5.05,6024 x 8231,F2,,,
F2.5.078,F2s,6,2,3,F1.5.05,6024 x 8231,F2,,,
F2.2.078,F2s,6,2,4,F1.2.02,1158 x 6125,F2,,,
F2.1.078,F2s,6,2,5,F1.1.02,1158 x 6092,F2,,,
F2.1.079,F2s,6,2,6,F1.1.02,1158 x 6092,F2,,,
F2.2.079,F2s,6,3,1,F1.2.02,1158 x 6125,F2,,,
F2.1.080,F2s,6,3,2,F1.1.02,1158 x 6092,F2,,,
F2.5.079,F2s,6,3,3,F1.5.05,6024 x 8231,F2,,,
F2.7.077,F2s,6,3,4,F1.7.09,8231 x 1158,F2,3,H,8
F2.5.080,F2s,6,3,5,F1.5.05,6024 x 8231,F2,,,
F2.5.081,F2s,6,3,6,F1.5.05,6024 x 8231,F2,,,
F2.5.082,F2s,6,4,1,F1.5.05,6024 x 8231,F2,,,
S2.03.06,F2s,6,4,2,S1.03.01,6024,selfed_parent,,,
F2.7.078,F2s,6,4,3,F1.7.09,8231 x 1158,F2,3,D,8
F2.7.079,F2s,6,4,4,F1.7.09,8231 x 1158,F2,3,A,9
F2.7.080,F2s,6,4,5,F1.7.09,8231 x 1158,F2,3,F,8
F2.5.083,F2s,6,4,6,F1.5.05,6024 x 8231,F2,,,
F2.5.084,F2s,6,5,1,F1.5.05,6024 x 8231,F2,,,
F2.2.080,F2s,6,5,2,F1.2.02,1158 x 6125,F2,,,
F2.7.081,F2s,6,5,3,F1.7.09,8231 x 1158,F2,3,G,8
F2.1.081,F2s,6,5,4,F1.1.02,1158 x 6092,F2,,,
F2.2.081,F2s,6,5,5,F1.2.02,1158 x 6125,F2,,,
F2.7.082,F2s,6,5,6,F1.7.09,8231 x 1158,F2,3,E,8
F2.5.085,F2s,6,6,1,F1.5.05,6024 x 8231,F2,,,
F2.2.082,F2s,6,6,2,F1.2.02,1158 x 6125,F2,,,
F2.2.083,F2s,6,6,3,F1.2.02,1158 x 6125,F2,,,
F2.1.082,F2s,6,6,4,F1.1.02,1158 x 6092,F2,,,
F2.7.083,F2s,6,6,5,F1.7.09,8231 x 1158,F2,3,E,7
F2.7.084,F2s,6,6,6,F1.7.09,8231 x 1158,F2,3,C,8
F2.5.086,F2s,6,7,1,F1.5.05,6024 x 8231,F2,,,
F2.1.083,F2s,6,7,2,F1.1.02,1158 x 6092,F2,,,
F2.2.084,F2s,6,7,3,F1.2.02,1158 x 6125,F2,,,
F2.5.087,F2s,6,7,4,F1.5.05,6024 x 8231,F2,,,
S2.5.06,F2s,6,7,5,S1.5.16,6092,selfed_parent,,,
F2.1.084,F2s,6,7,6,F1.1.02,1158 x 6092,F2,,,
F2.7.085,F2s,6,8,1,F1.7.09,8231 x 1158,F2,3,F,7
F2.1.085,F2s,6,8,2,F1.1.02,1158 x 6092,F2,,,
F2.7.086,F2s,6,8,3,F1.7.09,8231 x 1158,F2,3,B,8
F2.1.086,F2s,6,8,4,F1.1.02,1158 x 6092,F2,,,
F2.7.087,F2s,6,8,5,F1.7.09,8231 x 1158,F2,3,A,8
F2.7.088,F2s,6,8,6,F1.7.09,8231 x 1158,F2,3,G,7
F2.7.089,F2s,6,9,1,F1.7.09,8231 x 1158,F2,3,H,7
F2.5.088,F2s,6,9,2,F1.5.05,6024 x 8231,F2,,,
F2.2.085,F2s,6,9,3,F1.2.02,1158 x 6125,F2,,,
NA,F2s,6,9,4,NA,NA,blank,,,
F2.2.086,F2s,6,9,5,F1.2.02,1158 x 6125,F2,,,
S2.2.06,F2s,6,9,6,S1.2.09,1158,selfed_parent,,,
F2.1.087,F2s,6,10,1,F1.1.02,1158 x 6092,F2,,,
F2.1.088,F2s,6,10,2,F1.1.02,1158 x 6092,F2,,,
F2.1.089,F2s,6,10,3,F1.1.02,1158 x 6092,F2,,,
F2.2.087,F2s,6,10,4,F1.2.02,1158 x 6125,F2,,,
F2.5.089,F2s,6,10,5,F1.5.05,6024 x 8231,F2,,,
F2.1.090,F2s,6,10,6,F1.1.02,1158 x 6092,F2,,,
F2.7.090,F2s,6,11,1,F1.7.09,8231 x 1158,F2,3,D,7
F2.5.090,F2s,6,11,2,F1.5.05,6024 x 8231,F2,,,
F2.2.088,F2s,6,11,3,F1.2.02,1158 x 6125,F2,,,
F2.2.089,F2s,6,11,4,F1.2.02,1158 x 6125,F2,,,
F2.2.090,F2s,6,11,5,F1.2.02,1158 x 6125,F2,,,
S2.10.06,F2s,6,11,6,S1.10.01,8231,selfed_parent,,,
S2.7.07,F2s,7,1,1,S1.7.08,6125,selfed_parent,,,
F2.1.091,F2s,7,1,2,F1.1.02,1158 x 6092,F2,,,
F2.7.091,F2s,7,1,3,F1.7.09,8231 x 1158,F2,4,A,1
F2.5.091,F2s,7,1,4,F1.5.05,6024 x 8231,F2,,,
F2.1.092,F2s,7,1,5,F1.1.02,1158 x 6092,F2,,,
F2.5.092,F2s,7,1,6,F1.5.05,6024 x 8231,F2,,,
F2.2.091,F2s,7,2,1,F1.2.02,1158 x 6125,F2,,,
F2.1.093,F2s,7,2,2,F1.1.02,1158 x 6092,F2,,,
F2.5.093,F2s,7,2,3,F1.5.05,6024 x 8231,F2,,,
F2.7.092,F2s,7,2,4,F1.7.09,8231 x 1158,F2,4,B,1
F2.2.092,F2s,7,2,5,F1.2.02,1158 x 6125,F2,,,
F2.5.094,F2s,7,2,6,F1.5.05,6024 x 8231,F2,,,
F2.2.093,F2s,7,3,1,F1.2.02,1158 x 6125,F2,,,
F2.2.094,F2s,7,3,2,F1.2.02,1158 x 6125,F2,,,
S2.2.07,F2s,7,3,3,S1.2.09,1158,selfed_parent,,,
F2.1.094,F2s,7,3,4,F1.1.02,1158 x 6092,F2,,,
F2.1.095,F2s,7,3,5,F1.1.02,1158 x 6092,F2,,,
F2.7.093,F2s,7,3,6,F1.7.09,8231 x 1158,F2,4,C,1
S2.10.07,F2s,7,4,1,S1.10.01,8231,selfed_parent,,,
F2.2.095,F2s,7,4,2,F1.2.02,1158 x 6125,F2,,,
F2.1.096,F2s,7,4,3,F1.1.02,1158 x 6092,F2,,,
F2.2.096,F2s,7,4,4,F1.2.02,1158 x 6125,F2,,,
F2.7.094,F2s,7,4,5,F1.7.09,8231 x 1158,F2,4,D,1
F2.2.097,F2s,7,4,6,F1.2.02,1158 x 6125,F2,,,
F2.1.097,F2s,7,5,1,F1.1.02,1158 x 6092,F2,,,
F2.1.098,F2s,7,5,2,F1.1.02,1158 x 6092,F2,,,
F2.1.099,F2s,7,5,3,F1.1.02,1158 x 6092,F2,,,
F2.7.095,F2s,7,5,4,F1.7.09,8231 x 1158,F2,4,E,1
F2.1.100,F2s,7,5,5,F1.1.02,1158 x 6092,F2,,,
F2.7.096,F2s,7,5,6,F1.7.09,8231 x 1158,F2,4,F,1
F2.7.097,F2s,7,6,1,F1.7.09,8231 x 1158,F2,4,G,1
F2.2.098,F2s,7,6,2,F1.2.02,1158 x 6125,F2,,,
S2.5.07,F2s,7,6,3,S1.5.16,6092,selfed_parent,,,
F2.5.095,F2s,7,6,4,F1.5.05,6024 x 8231,F2,,,
F2.5.096,F2s,7,6,5,F1.5.05,6024 x 8231,F2,,,
F2.5.097,F2s,7,6,6,F1.5.05,6024 x 8231,F2,,,
F2.1.101,F2s,7,7,1,F1.1.02,1158 x 6092,F2,,,
F2.1.102,F2s,7,7,2,F1.1.02,1158 x 6092,F2,,,
S2.03.07,F2s,7,7,3,S1.03.01,6024,selfed_parent,,,
F2.2.099,F2s,7,7,4,F1.2.02,1158 x 6125,F2,,,
F2.2.100,F2s,7,7,5,F1.2.02,1158 x 6125,F2,,,
F2.2.101,F2s,7,7,6,F1.2.02,1158 x 6125,F2,,,
F2.2.102,F2s,7,8,1,F1.2.02,1158 x 6125,F2,,,
F2.7.098,F2s,7,8,2,F1.7.09,8231 x 1158,F2,4,B,2
F2.7.099,F2s,7,8,3,F1.7.09,8231 x 1158,F2,4,A,2
F2.5.098,F2s,7,8,4,F1.5.05,6024 x 8231,F2,,,
F2.5.099,F2s,7,8,5,F1.5.05,6024 x 8231,F2,,,
F2.7.100,F2s,7,8,6,F1.7.09,8231 x 1158,F2,4,H,1
F2.1.103,F2s,7,9,1,F1.1.02,1158 x 6092,F2,,,
F2.2.103,F2s,7,9,2,F1.2.02,1158 x 6125,F2,,,
F2.2.104,F2s,7,9,3,F1.2.02,1158 x 6125,F2,,,
NA,F2s,7,9,4,NA,NA,blank,,,
F2.5.100,F2s,7,9,5,F1.5.05,6024 x 8231,F2,,,
F2.7.101,F2s,7,9,6,F1.7.09,8231 x 1158,F2,4,D,2
F2.5.101,F2s,7,10,1,F1.5.05,6024 x 8231,F2,,,
F2.1.104,F2s,7,10,2,F1.1.02,1158 x 6092,F2,,,
F2.2.105,F2s,7,10,3,F1.2.02,1158 x 6125,F2,,,
F2.7.102,F2s,7,10,4,F1.7.09,8231 x 1158,F2,3,G,12
F2.5.102,F2s,7,10,5,F1.5.05,6024 x 8231,F2,,,
F2.1.105,F2s,7,10,6,F1.1.02,1158 x 6092,F2,,,
F2.5.103,F2s,7,11,1,F1.5.05,6024 x 8231,F2,,,
F2.7.103,F2s,7,11,2,F1.7.09,8231 x 1158,F2,3,H,12
F2.5.104,F2s,7,11,3,F1.5.05,6024 x 8231,F2,,,
F2.5.105,F2s,7,11,4,F1.5.05,6024 x 8231,F2,,,
F2.7.104,F2s,7,11,5,F1.7.09,8231 x 1158,F2,4,E,2
F2.7.105,F2s,7,11,6,F1.7.09,8231 x 1158,F2,4,C,2
F2.7.106,F2s,8,1,1,F1.7.09,8231 x 1158,F2,3,E,2
F2.7.107,F2s,8,1,2,F1.7.09,8231 x 1158,F2,3,D,2
F2.1.106,F2s,8,1,3,F1.1.02,1158 x 6092,F2,,,
F2.1.107,F2s,8,1,4,F1.1.02,1158 x 6092,F2,,,
F2.1.108,F2s,8,1,5,F1.1.02,1158 x 6092,F2,,,
F2.2.106,F2s,8,1,6,F1.2.02,1158 x 6125,F2,,,
F2.2.107,F2s,8,2,1,F1.2.02,1158 x 6125,F2,,,
S2.03.08,F2s,8,2,2,S1.03.01,6024,selfed_parent,,,
F2.2.108,F2s,8,2,3,F1.2.02,1158 x 6125,F2,,,
F2.5.106,F2s,8,2,4,F1.5.05,6024 x 8231,F2,,,
F2.5.107,F2s,8,2,5,F1.5.05,6024 x 8231,F2,,,
F2.5.108,F2s,8,2,6,F1.5.05,6024 x 8231,F2,,,
F2.5.109,F2s,8,3,1,F1.5.05,6024 x 8231,F2,,,
F2.7.108,F2s,8,3,2,F1.7.09,8231 x 1158,F2,3,C,1
S2.5.08,F2s,8,3,3,S1.5.16,6092,selfed_parent,,,
F2.2.109,F2s,8,3,4,F1.2.02,1158 x 6125,F2,,,
F2.5.110,F2s,8,3,5,F1.5.05,6024 x 8231,F2,,,
F2.5.111,F2s,8,3,6,F1.5.05,6024 x 8231,F2,,,
F2.2.110,F2s,8,4,1,F1.2.02,1158 x 6125,F2,,,
F2.5.112,F2s,8,4,2,F1.5.05,6024 x 8231,F2,,,
F2.7.109,F2s,8,4,3,F1.7.09,8231 x 1158,F2,3,B,1
S2.2.08,F2s,8,4,4,S1.2.09,1158,selfed_parent,,,
F2.7.110,F2s,8,4,5,F1.7.09,8231 x 1158,F2,3,A,1
F2.5.113,F2s,8,4,6,F1.5.05,6024 x 8231,F2,,,
F2.5.114,F2s,8,5,1,F1.5.05,6024 x 8231,F2,,,
F2.7.111,F2s,8,5,2,F1.7.09,8231 x 1158,F2,3,D,1
F2.1.109,F2s,8,5,3,F1.1.02,1158 x 6092,F2,,,
F2.2.111,F2s,8,5,4,F1.2.02,1158 x 6125,F2,,,
F2.2.112,F2s,8,5,5,F1.2.02,1158 x 6125,F2,,,
F2.1.110,F2s,8,5,6,F1.1.02,1158 x 6092,F2,,,
F2.1.111,F2s,8,6,1,F1.1.02,1158 x 6092,F2,,,
F2.7.112,F2s,8,6,2,F1.7.09,8231 x 1158,F2,3,H,1
F2.2.113,F2s,8,6,3,F1.2.02,1158 x 6125,F2,,,
F2.7.113,F2s,8,6,4,F1.7.09,8231 x 1158,F2,3,B,2
F2.5.115,F2s,8,6,5,F1.5.05,6024 x 8231,F2,,,
NA,F2s,8,6,6,NA,NA,blank,,,
F2.2.114,F2s,8,7,1,F1.2.02,1158 x 6125,F2,,,
F2.2.115,F2s,8,7,2,F1.2.02,1158 x 6125,F2,,,
F2.1.112,F2s,8,7,3,F1.1.02,1158 x 6092,F2,,,
F2.2.116,F2s,8,7,4,F1.2.02,1158 x 6125,F2,,,
F2.1.113,F2s,8,7,5,F1.1.02,1158 x 6092,F2,,,
F2.1.114,F2s,8,7,6,F1.1.02,1158 x 6092,F2,,,
F2.2.117,F2s,8,8,1,F1.2.02,1158 x 6125,F2,,,
F2.7.114,F2s,8,8,2,F1.7.09,8231 x 1158,F2,3,F,1
F2.7.115,F2s,8,8,3,F1.7.09,8231 x 1158,F2,,,
S2.7.08,F2s,8,8,4,S1.7.08,6125,selfed_parent,,,
F2.7.116,F2s,8,8,5,F1.7.09,8231 x 1158,F2,3,G,1
F2.5.116,F2s,8,8,6,F1.5.05,6024 x 8231,F2,,,
F2.2.118,F2s,8,9,1,F1.2.02,1158 x 6125,F2,,,
F2.1.115,F2s,8,9,2,F1.1.02,1158 x 6092,F2,,,
F2.7.117,F2s,8,9,3,F1.7.09,8231 x 1158,F2,3,A,2
F2.5.117,F2s,8,9,4,F1.5.05,6024 x 8231,F2,,,
F2.5.118,F2s,8,9,5,F1.5.05,6024 x 8231,F2,,,
F2.1.116,F2s,8,9,6,F1.1.02,1158 x 6092,F2,,,
F2.7.118,F2s,8,10,1,F1.7.09,8231 x 1158,F2,,,
F2.7.119,F2s,8,10,2,F1.7.09,8231 x 1158,F2,3,E,1
F2.1.117,F2s,8,10,3,F1.1.02,1158 x 6092,F2,,,
F2.1.118,F2s,8,10,4,F1.1.02,1158 x 6092,F2,,,
S2.10.08,F2s,8,10,5,S1.10.01,8231,selfed_parent,,,
F2.1.119,F2s,8,10,6,F1.1.02,1158 x 6092,F2,,,
F2.2.119,F2s,8,11,1,F1.2.02,1158 x 6125,F2,,,
F2.7.120,F2s,8,11,2,F1.7.09,8231 x 1158,F2,3,C,2
F2.2.120,F2s,8,11,3,F1.2.02,1158 x 6125,F2,,,
F2.5.119,F2s,8,11,4,F1.5.05,6024 x 8231,F2,,,
F2.5.120,F2s,8,11,5,F1.5.05,6024 x 8231,F2,,,
F2.1.120,F2s,8,11,6,F1.1.02,1158 x 6092,F2,,,
F2.5.121,F2s,9,1,1,F1.5.05,6024 x 8231,F2,,,
F2.7.121,F2s,9,1,2,F1.7.09,8231 x 1158,F2,,,
F2.7.122,F2s,9,1,3,F1.7.09,8231 x 1158,F2,2,F,7
F2.2.121,F2s,9,1,4,F1.2.02,1158 x 6125,F2,,,
F2.2.122,F2s,9,1,5,F1.2.02,1158 x 6125,F2,,,
F2.2.123,F2s,9,1,6,F1.2.02,1158 x 6125,F2,,,
F2.2.124,F2s,9,2,1,F1.2.02,1158 x 6125,F2,,,
F2.1.121,F2s,9,2,2,F1.1.02,1158 x 6092,F2,,,
F2.1.122,F2s,9,2,3,F1.1.02,1158 x 6092,F2,,,
F2.7.123,F2s,9,2,4,F1.7.09,8231 x 1158,F2,2,B,7
F2.1.123,F2s,9,2,5,F1.1.02,1158 x 6092,F2,,,
F2.7.124,F2s,9,2,6,F1.7.09,8231 x 1158,F2,2,H,6
S2.10.09,F2s,9,3,1,S1.10.01,8231,selfed_parent,,,
F2.1.124,F2s,9,3,2,F1.1.02,1158 x 6092,F2,,,
F2.5.122,F2s,9,3,3,F1.5.05,6024 x 8231,F2,,,
NA,F2s,9,3,4,NA,NA,blank,,,
F2.1.125,F2s,9,3,5,F1.1.02,1158 x 6092,F2,,,
S2.2.09,F2s,9,3,6,S1.2.09,1158,selfed_parent,,,
F2.5.123,F2s,9,4,1,F1.5.05,6024 x 8231,F2,,,
F2.7.125,F2s,9,4,2,F1.7.09,8231 x 1158,F2,2,C,6
F2.7.126,F2s,9,4,3,F1.7.09,8231 x 1158,F2,2,B,6
F2.1.126,F2s,9,4,4,F1.1.02,1158 x 6092,F2,,,
S2.5.09,F2s,9,4,5,S1.5.16,6092,selfed_parent,,,
F2.1.127,F2s,9,4,6,F1.1.02,1158 x 6092,F2,,,
F2.1.128,F2s,9,5,1,F1.1.02,1158 x 6092,F2,,,
F2.2.125,F2s,9,5,2,F1.2.02,1158 x 6125,F2,,,
F2.2.126,F2s,9,5,3,F1.2.02,1158 x 6125,F2,,,
F2.1.129,F2s,9,5,4,F1.1.02,1158 x 6092,F2,,,
F2.2.127,F2s,9,5,5,F1.2.02,1158 x 6125,F2,,,
F2.2.128,F2s,9,5,6,F1.2.02,1158 x 6125,F2,,,
F2.2.129,F2s,9,6,1,F1.2.02,1158 x 6125,F2,,,
F2.5.124,F2s,9,6,2,F1.5.05,6024 x 8231,F2,,,
F2.5.125,F2s,9,6,3,F1.5.05,6024 x 8231,F2,,,
F2.7.127,F2s,9,6,4,F1.7.09,8231 x 1158,F2,2,A,7
F2.7.128,F2s,9,6,5,F1.7.09,8231 x 1158,F2,2,C,7
F2.1.130,F2s,9,6,6,F1.1.02,1158 x 6092,F2,,,
F2.1.131,F2s,9,7,1,F1.1.02,1158 x 6092,F2,,,
S2.7.09,F2s,9,7,2,S1.7.08,6125,selfed_parent,,,
F2.2.130,F2s,9,7,3,F1.2.02,1158 x 6125,F2,,,
F2.5.126,F2s,9,7,4,F1.5.05,6024 x 8231,F2,,,
F2.7.129,F2s,9,7,5,F1.7.09,8231 x 1158,F2,2,D,6
F2.1.132,F2s,9,7,6,F1.1.02,1158 x 6092,F2,,,
F2.2.131,F2s,9,8,1,F1.2.02,1158 x 6125,F2,,,
F2.2.132,F2s,9,8,2,F1.2.02,1158 x 6125,F2,,,
F2.1.133,F2s,9,8,3,F1.1.02,1158 x 6092,F2,,,
F2.2.133,F2s,9,8,4,F1.2.02,1158 x 6125,F2,,,
F2.7.130,F2s,9,8,5,F1.7.09,8231 x 1158,F2,,,
F2.7.131,F2s,9,8,6,F1.7.09,8231 x 1158,F2,2,D,7
F2.7.132,F2s,9,9,1,F1.7.09,8231 x 1158,F2,2,E,7
F2.2.134,F2s,9,9,2,F1.2.02,1158 x 6125,F2,,,
F2.1.134,F2s,9,9,3,F1.1.02,1158 x 6092,F2,,,
F2.5.127,F2s,9,9,4,F1.5.05,6024 x 8231,F2,,,
F2.5.128,F2s,9,9,5,F1.5.05,6024 x 8231,F2,,,
F2.5.129,F2s,9,9,6,F1.5.05,6024 x 8231,F2,,,
F2.5.130,F2s,9,10,1,F1.5.05,6024 x 8231,F2,,,
F2.5.131,F2s,9,10,2,F1.5.05,6024 x 8231,F2,,,
F2.7.133,F2s,9,10,3,F1.7.09,8231 x 1158,F2,2,E,6
S2.03.09,F2s,9,10,4,S1.03.01,6024,selfed_parent,,,
F2.2.135,F2s,9,10,5,F1.2.02,1158 x 6125,F2,,,
F2.7.134,F2s,9,10,6,F1.7.09,8231 x 1158,F2,2,F,6
F2.5.132,F2s,9,11,1,F1.5.05,6024 x 8231,F2,,,
F2.5.133,F2s,9,11,2,F1.5.05,6024 x 8231,F2,,,
F2.7.135,F2s,9,11,3,F1.7.09,8231 x 1158,F2,2,G,6
F2.5.134,F2s,9,11,4,F1.5.05,6024 x 8231,F2,,,
F2.5.135,F2s,9,11,5,F1.5.05,6024 x 8231,F2,,,
F2.1.135,F2s,9,11,6,F1.1.02,1158 x 6092,F2,,,
F2.7.136,F2s,10,1,1,F1.7.09,8231 x 1158,F2,3,C,4
F2.7.137,F2s,10,1,2,F1.7.09,8231 x 1158,F2,3,D,4
F2.5.136,F2s,10,1,3,F1.5.05,6024 x 8231,F2,,,
F2.2.136,F2s,10,1,4,F1.2.02,1158 x 6125,F2,,,
F2.7.138,F2s,10,1,5,F1.7.09,8231 x 1158,F2,3,E,4
F2.7.139,F2s,10,1,6,F1.7.09,8231 x 1158,F2,3,F,4
F2.1.136,F2s,10,2,1,F1.1.02,1158 x 6092,F2,,,
F2.7.140,F2s,10,2,2,F1.7.09,8231 x 1158,F2,3,G,4
F2.1.137,F2s,10,2,3,F1.1.02,1158 x 6092,F2,,,
F2.2.137,F2s,10,2,4,F1.2.02,1158 x 6125,F2,,,
F2.2.138,F2s,10,2,5,F1.2.02,1158 x 6125,F2,,,
F2.2.139,F2s,10,2,6,F1.2.02,1158 x 6125,F2,,,
F2.2.140,F2s,10,3,1,F1.2.02,1158 x 6125,F2,,,
F2.1.138,F2s,10,3,2,F1.1.02,1158 x 6092,F2,,,
F2.1.139,F2s,10,3,3,F1.1.02,1158 x 6092,F2,,,
S2.03.10,F2s,10,3,4,S1.03.01,6024,selfed_parent,,,
NA,F2s,10,3,5,NA,NA,blank,,,
F2.7.141,F2s,10,3,6,F1.7.09,8231 x 1158,F2,3,H,4
F2.1.140,F2s,10,4,1,F1.1.02,1158 x 6092,F2,,,
F2.7.142,F2s,10,4,2,F1.7.09,8231 x 1158,F2,3,A,5
F2.5.137,F2s,10,4,3,F1.5.05,6024 x 8231,F2,,,
F2.2.141,F2s,10,4,4,F1.2.02,1158 x 6125,F2,,,
F2.5.138,F2s,10,4,5,F1.5.05,6024 x 8231,F2,,,
F2.1.141,F2s,10,4,6,F1.1.02,1158 x 6092,F2,,,
F2.5.139,F2s,10,5,1,F1.5.05,6024 x 8231,F2,,,
S2.2.10,F2s,10,5,2,S1.2.09,1158,selfed_parent,,,
F2.2.142,F2s,10,5,3,F1.2.02,1158 x 6125,F2,,,
S2.7.10,F2s,10,5,4,S1.7.08,6125,selfed_parent,,,
F2.1.142,F2s,10,5,5,F1.1.02,1158 x 6092,F2,,,
F2.7.143,F2s,10,5,6,F1.7.09,8231 x 1158,F2,3,C,5
F2.7.144,F2s,10,6,1,F1.7.09,8231 x 1158,F2,3,B,5
F2.2.143,F2s,10,6,2,F1.2.02,1158 x 6125,F2,,,
F2.1.143,F2s,10,6,3,F1.1.02,1158 x 6092,F2,,,
F2.1.144,F2s,10,6,4,F1.1.02,1158 x 6092,F2,,,
F2.5.140,F2s,10,6,5,F1.5.05,6024 x 8231,F2,,,
F2.2.144,F2s,10,6,6,F1.2.02,1158 x 6125,F2,,,
F2.5.141,F2s,10,7,1,F1.5.05,6024 x 8231,F2,,,
F2.7.145,F2s,10,7,2,F1.7.09,8231 x 1158,F2,3,D,5
F2.5.142,F2s,10,7,3,F1.5.05,6024 x 8231,F2,,,
F2.1.145,F2s,10,7,4,F1.1.02,1158 x 6092,F2,,,
F2.5.143,F2s,10,7,5,F1.5.05,6024 x 8231,F2,,,
